FID,NAME_ENGLI,WNCODE,RNCODE,WILAYATID,REGIONID,MEMBARS201,OMANI2010,NONOMANI20,HOUSEHOLDS,density
0,WILAYAT WADI AL MAAWIL,704,7,209,2,12823,11316,1507,1680,26.30583631
1,WILAYAT MANAH,503,5,508,5,15056,12814,2242,2127,32.01096752
2,WILAYAT AL KAMIL WA AL WAFI,802,8,607,6,22815,18701,4114,3909,21.63245027
3,WILAYAT BAHLA,502,5,508,5,58233,52499,5734,8279,12.97295529
4,WILAYAT BAWSHAR,104,1,103,1,192079,72964,119115,30586,564.8578059
5,WILAYAT DANK,1003,10,403,4,17189,14251,2938,2348,8.898575055
6,WILAYAT IZKI,506,5,508,5,41400,36294,5106,5740,26.76094246
7,WILAYAT AS SUNAYNAH,403,4,902,9,1381,302,1079,485,0.464585134
8,WILAYAT MAHADAH,402,4,902,9,8373,4756,3617,1457,2.565179269
9, AL MUSANAAH,706,7,209,2,68558,53694,14864,9626,126.0906909
10,WILAYAT AD DUQM,1103,11,703,7,11214,3820,7394,912,1.196868825
11,WILAYAT AL HAMRA,504,5,508,5,19438,18045,1393,2537,32.49969029
12,WILAYAT AL AWABI,702,7,209,2,13326,10979,2347,1610,32.36898035
13,WILAYAT MUTRAH,102,1,103,1,150067,47484,102583,32908,1661.153222
14,WILAYAT AL AMRAT,103,1,103,1,58399,45642,12757,7841,54.69428709
15,WILAYAT AL QABIL,904,9,606,6,16033,13677,2356,2700,9.821611084
16,BARKA,705,7,209,2,96392,70077,26315,13336,138.0777739
17,WILAYAT AL JAZIR,1104,11,703,7,7925,2898,5027,712,1.14226813
18,WILAYAT ADAM,505,5,508,5,27313,14554,12759,2852,1.305922809
19,WILAYAT SHINAS,602,6,205,2,51452,44204,7248,6688,48.06723865
20,WILAYAT JAALAN BANI BU ALI,804,8,607,6,61350,52830,8520,9359,20.60583102
21,WILAYAT BIDBID,508,5,508,5,24705,21449,3256,3384,38.44035087
22,SAHAM,604,6,205,2,93435,82157,11278,12450,62.50279702
23,WILAYAT DABA,302,3,301,3,6987,4084,2903,1157,14.23797237
24,WILAYAT BIDIYAH,903,9,606,6,20944,16972,3972,3876,5.777548652
25,IBRA,901,9,606,6,27210,21248,5962,4587,22.07024221
26,WILAYAT QURAYYAT,106,1,103,1,44901,36724,8177,6241,29.2373341
27,WILAYAT SUR,801,8,607,6,64979,52728,12251,9527,34.04766767
28,AL KHABURAH,605,6,205,2,52292,46664,5628,7317,33.49842193
29,WILAYAT HAYMA,1101,11,703,7,10472,1920,8552,451,0.196746521
30,WILAYAT MADHA,304,3,301,3,3256,1936,1320,465,41.91997969
31,WILAYAT SOHAR,601,6,205,2,139963,92586,47377,20886,69.10475751
32,WILAYAT MASIRAH,805,8,607,6,8726,6877,1849,1324,13.33507231
33,WILAYAT NIZWA,501,5,508,5,84514,65590,18924,11834,58.19903676
34,WILAYAT AL BURAYMI,401,4,902,9,62905,37945,24960,10003,51.43880317
35,WILAYAT WADI BANI KHALID,905,9,606,6,9468,8291,1177,1398,10.83489837
36,WILAYAT DAMA WA AT TAIYIN,906,9,606,6,19442,17520,1922,2630,11.68698247
37,WILAYAT MUSCAT,101,1,103,1,27080,19248,7832,3656,98.85492418
38,WILAYAT MAHAWT,1102,11,703,7,12487,10403,2084,1995,0.965197372
39,WILAYAT TAQAH,202,2,801,8,18217,15578,2639,2006,17.3610296
40,WILAYAT SADAH,210,2,801,8,6383,4585,1798,585,2.039012784
41,WILAYAT THUMRAYT,205,2,801,8,13511,7557,5954,1353,0.366853726
42,WILAYAT SHALIM WA JUZOR AL HALLANIYAT,209,2,801,8,8695,3047,5648,895,0.453689065
43,WILAYAT MIRBAT,203,2,801,8,13917,11491,2426,1524,16.19537255
44,WILAYAT SALALAH,201,2,801,8,171721,107782,63939,25092,34.73683621
45,WILAYAT RAKHYUT,204,2,801,8,4500,3858,642,642,2.701448598
46,WILAYAT MUQSHIN,208,2,801,8,1069,637,432,98,0.064430437
47,WILAYAT LIWA,603,6,205,2,33998,25453,8545,4190,45.91887361
48,WILAYAT AL MAZYUNAH,207,2,801,8,7652,7118,534,677,0.54147055
49,WILAYAT BUKHA,303,3,301,3,2777,1999,778,480,21.88010871
50,WILAYAT KHASAB,301,3,301,3,18021,13815,4206,2703,19.51297477
51,WILAYAT JAALAN BANI BU HASAN,803,8,607,6,30145,26135,4010,4698,5.536782042
52,WILAYAT AL MUDAYBI,902,9,606,6,69362,58393,10969,10927,5.728492488
53,IBRI,1001,10,403,4,116389,89210,27179,15045,3.559667557
54,WILAYAT DALKUT,206,2,801,8,2775,2381,394,492,3.988552084
55,WILAYAT SAMAIL,507,5,508,5,55904,47751,8153,7616,33.06046499
56,RUSTAQ,701,7,209,2,79790,71610,8180,10436,35.2680644
57,SUWAYQ,606,6,205,2,111698,95445,16253,15854,110.8967662
58,WILAYAT NAKHAL,703,7,209,2,18152,16793,1359,2402,19.73569397
59,WILAYAT AS SEEB,105,1,103,1,287627,184832,102795,40987,588.3766849
60,WILAYAT YANQUL,1002,10,403,4,18054,15400,2654,2711,14.41550702
